"Balanced_accuracy" "Threshold" "Group"
"289" "0.950143432459609" "2600" "OR"
"290" "0.938919324139912" "2600" "OR"
"291" "0.959962517058105" "2600" "OR"
"292" "0.943375888817065" "2600" "OR"
"293" "0.934601702947291" "2600" "OR"
"294" "0.949044566544567" "2600" "OR"
"295" "0.964118230625584" "2600" "OR"
"296" "0.943062333907922" "2600" "OR"
"297" "0.956732205702794" "2600" "OR"
"298" "0.955624640881994" "2600" "OR"
"299" "0.926941411353176" "2600" "OR"
"300" "0.962192604692605" "2600" "OR"
"301" "0.957810646781235" "2600" "OR"
"302" "0.940688304254481" "2600" "OR"
"303" "0.933530184596361" "2600" "OR"
"304" "0.950268530489119" "2600" "OR"
"305" "0.938443098479863" "2600" "OR"
"306" "0.960344134535311" "2600" "OR"
"307" "0.950606325863679" "2600" "OR"
"308" "0.944842616533793" "2600" "OR"
"309" "0.942517282554047" "2600" "OR"
"310" "0.930394356460533" "2600" "OR"
"311" "0.92701852223911" "2600" "OR"
"312" "0.941007290823467" "2600" "OR"
"313" "0.964985410830999" "2600" "OR"
"314" "0.946709600680189" "2600" "OR"
"315" "0.936384948296713" "2600" "OR"
"316" "0.945705891330891" "2600" "OR"
"317" "0.956419378735555" "2600" "OR"
"318" "0.945056291747468" "2600" "OR"
"319" "0.943202893423482" "2600" "OR"
"320" "0.926165607268548" "2600" "OR"
"321" "0.936387327453504" "2600" "OR"
"322" "0.953955191050779" "2600" "OR"
"323" "0.946135495951672" "2600" "OR"
"324" "0.930085309938251" "2600" "OR"
"325" "0.928143244650598" "2600" "OR"
"326" "0.934936356039297" "2600" "OR"
"327" "0.946934867155455" "2600" "OR"
"328" "0.933465084751849" "2600" "OR"
"329" "0.947197712418301" "2600" "OR"
"330" "0.930854611075199" "2600" "OR"
"331" "0.935912753008341" "2600" "OR"
"332" "0.952603076573665" "2600" "OR"
"333" "0.95190396359514" "2600" "OR"
"334" "0.92805199349317" "2600" "OR"
"335" "0.935108328674505" "2600" "OR"
"336" "0.927427233713998" "2600" "OR"
"337" "0.939764687926453" "2600" "OR"
"338" "0.955106074481074" "2600" "OR"
"339" "0.953765846082023" "2600" "OR"
"340" "0.93665747397365" "2600" "OR"
"341" "0.953368347338936" "2600" "OR"
"342" "0.93261514221073" "2600" "OR"
"343" "0.950864676085264" "2600" "OR"
"344" "0.953762030453207" "2600" "OR"
"345" "0.933597868634633" "2600" "OR"
"346" "0.951869353597295" "2600" "OR"
"347" "0.928946617108382" "2600" "OR"
"348" "0.948254875754876" "2600" "OR"
"349" "0.943480052450641" "2600" "OR"
"350" "0.942719745035921" "2600" "OR"
"351" "0.947465569561158" "2600" "OR"
"352" "0.928008261170026" "2600" "OR"
"353" "0.959042421542421" "2600" "OR"
"354" "0.935323619919208" "2600" "OR"
"355" "0.912779268845445" "2600" "OR"
"356" "0.956782097627686" "2600" "OR"
"357" "0.934622127783892" "2600" "OR"
"358" "0.952728174603174" "2600" "OR"
"359" "0.949807422969188" "2600" "OR"
"360" "0.946821276674218" "2600" "OR"
"361" "0.939422134238311" "2600" "OR"
"362" "0.953125673346262" "2600" "OR"
"363" "0.948717769158945" "2600" "OR"
"364" "0.95752767149826" "2600" "OR"
"365" "0.956324132390309" "2600" "OR"
"366" "0.954775371687136" "2600" "OR"
"367" "0.942410319983849" "2600" "OR"
"368" "0.921210901027077" "2600" "OR"
"369" "0.937182324939678" "2600" "OR"
"370" "0.948797134238311" "2600" "OR"
"371" "0.951121615312792" "2600" "OR"
"372" "0.951112746553923" "2600" "OR"
"373" "0.947640819148172" "2600" "OR"
"374" "0.94760918157977" "2600" "OR"
"375" "0.956162349728526" "2600" "OR"
"376" "0.955978526199114" "2600" "OR"
"377" "0.937262453144806" "2600" "OR"
"378" "0.96271044315162" "2600" "OR"
"379" "0.945896637587814" "2600" "OR"
"380" "0.955782258502847" "2600" "OR"
"381" "0.945169324139912" "2600" "OR"
"382" "0.937794476765065" "2600" "OR"
"383" "0.971474269194857" "2600" "OR"
"384" "0.941170599736776" "2600" "OR"
"385" "0.9484859233021" "2600" "OR"
"386" "0.949735868706457" "2600" "OR"
"387" "0.945619353597295" "2600" "OR"
"388" "0.933340076501841" "2600" "OR"
"389" "0.954835713218066" "2600" "OR"
"390" "0.940996462687639" "2600" "OR"
"391" "0.954775371687136" "2600" "OR"
"392" "0.971818054318054" "2600" "OR"
"393" "0.942789134884723" "2600" "OR"
"394" "0.962696941042529" "2600" "OR"
"395" "0.950173284143872" "2600" "OR"
"396" "0.926105349450938" "2600" "OR"
"397" "0.937241265182442" "2600" "OR"
"398" "0.924053015523604" "2600" "OR"
"399" "0.973636204481793" "2600" "OR"
"400" "0.94237439847734" "2600" "OR"
"401" "0.949096244353597" "2600" "OR"
"402" "0.951361236802413" "2600" "OR"
"403" "0.937097528200469" "2600" "OR"
"404" "0.970496086341675" "2600" "OR"
"405" "0.94481743338361" "2600" "OR"
"406" "0.941170689516278" "2600" "OR"
"407" "0.95724584393702" "2600" "OR"
"408" "0.936677988589753" "2600" "OR"
"409" "0.95456667669903" "2600" "OR"
"410" "0.941348353443942" "2600" "OR"
"411" "0.948582311302899" "2600" "OR"
"412" "0.94182207498384" "2600" "OR"
"413" "0.945810349780938" "2600" "OR"
"414" "0.961923894644483" "2600" "OR"
"415" "0.950452354018531" "2600" "OR"
"416" "0.945507209293974" "2600" "OR"
"417" "0.960583756024933" "2600" "OR"
"418" "0.9401715237377" "2600" "OR"
"419" "0.95142094017094" "2600" "OR"
"420" "0.934884678230267" "2600" "OR"
"421" "0.96247128997129" "2600" "OR"
"422" "0.935462095094448" "2600" "OR"
"423" "0.946695630261807" "2600" "OR"
"424" "0.942697793947794" "2600" "OR"
"425" "0.947114753622107" "2600" "OR"
"426" "0.944956376868141" "2600" "OR"
"427" "0.917897284000225" "2600" "OR"
"428" "0.934542762704527" "2600" "OR"
"429" "0.921896861308626" "2600" "OR"
"430" "0.93693688719424" "2600" "OR"
"431" "0.940996462687639" "2600" "OR"
"432" "0.958338550250315" "2600" "OR"
"433" "0.947062639158227" "2600" "OR"
"434" "0.938210874093227" "2600" "OR"
"435" "0.933196079887256" "2600" "OR"
"436" "0.922573423860189" "2600" "OR"
"437" "0.953096584787761" "2600" "OR"
"438" "0.941906108597285" "2600" "OR"
"439" "0.940861299648064" "2600" "OR"
"440" "0.939491777653542" "2600" "OR"
"441" "0.932371615312792" "2600" "OR"
"442" "0.95199339368457" "2600" "OR"
"443" "0.937032258502847" "2600" "OR"
"444" "0.94807207498384" "2600" "OR"
"445" "0.923230715363068" "2600" "OR"
"446" "0.936539808230985" "2600" "OR"
"447" "0.954651889688654" "2600" "OR"
"448" "0.943560565251742" "2600" "OR"
"449" "0.951574912016089" "2600" "OR"
"450" "0.947829016395193" "2600" "OR"
"451" "0.948967455658632" "2600" "OR"
"452" "0.948261419952596" "2600" "OR"
"453" "0.94638080873375" "2600" "OR"
"454" "0.936419468515057" "2600" "OR"
"455" "0.944191231066231" "2600" "OR"
"456" "0.931809191625368" "2600" "OR"
"457" "0.952732718173895" "2600" "OR"
"458" "0.926055457526046" "2600" "OR"
"459" "0.943058518279106" "2600" "OR"
"460" "0.924414502980679" "2600" "OR"
"461" "0.932185412626589" "2600" "OR"
"462" "0.946207175177763" "2600" "OR"
"463" "0.943838487404664" "2600" "OR"
